company_id,account_id,transaction_date,amount,transaction_type,category,description
1,1,2026-03-25,17581.71,INCOME,Sales,Customer Payment
1,1,2026-03-26,23423.77,INCOME,Sales,Customer Payment
1,1,2026-03-27,31199.63,INCOME,Sales,Customer Payment
1,1,2026-03-28,-150000.00,EXPENSE,Payroll,Employee Salaries
1,1,2026-03-30,23404.04,INCOME,Sales,Customer Payment
1,1,2026-03-30,-69486.55,EXPENSE,Inventory,Supplier Invoice
1,1,2026-03-31,11902.34,INCOME,Sales,Customer Payment
1,1,2026-04-01,-50000.00,EXPENSE,Rent,Office Rent
1,1,2026-04-01,23531.94,INCOME,Sales,Customer Payment
1,1,2026-04-01,-1300.46,EXPENSE,Operations,Office Supplies
1,1,2026-04-02,16406.10,INCOME,Sales,Customer Payment
1,1,2026-04-03,33908.55,INCOME,Sales,Customer Payment
1,1,2026-04-07,29692.27,INCOME,Sales,Customer Payment
1,1,2026-04-08,21474.44,INCOME,Sales,Customer Payment
1,1,2026-04-09,5559.19,INCOME,Sales,Customer Payment
1,1,2026-04-10,18344.00,INCOME,Sales,Customer Payment
1,1,2026-04-13,34580.12,INCOME,Sales,Customer Payment
1,1,2026-04-13,-28155.31,EXPENSE,Inventory,Supplier Invoice
1,1,2026-04-15,13591.28,INCOME,Sales,Customer Payment
1,1,2026-04-15,-6111.12,EXPENSE,Operations,Office Supplies
1,1,2026-04-16,6038.28,INCOME,Sales,Customer Payment
1,1,2026-04-17,13152.94,INCOME,Sales,Customer Payment
1,1,2026-04-21,16694.26,INCOME,Sales,Customer Payment
1,1,2026-04-22,16250.27,INCOME,Sales,Customer Payment
1,1,2026-04-23,6125.26,INCOME,Sales,Customer Payment
1,1,2026-04-23,-2416.31,EXPENSE,Operations,Office Supplies
1,1,2026-04-24,8326.64,INCOME,Sales,Customer Payment
1,1,2026-04-27,6291.67,INCOME,Sales,Customer Payment
1,1,2026-04-27,-46162.45,EXPENSE,Inventory,Supplier Invoice
1,1,2026-04-28,-150000.00,EXPENSE,Payroll,Employee Salaries
1,1,2026-04-28,25693.14,INCOME,Sales,Customer Payment
1,1,2026-04-30,13899.08,INCOME,Sales,Customer Payment
1,1,2026-04-30,-5367.03,EXPENSE,Operations,Office Supplies
1,1,2026-05-01,-50000.00,EXPENSE,Rent,Office Rent
1,1,2026-05-01,12112.81,INCOME,Sales,Customer Payment
1,1,2026-05-04,-1942.67,EXPENSE,Operations,Office Supplies
1,1,2026-05-07,19372.57,INCOME,Sales,Customer Payment
1,1,2026-05-08,29972.89,INCOME,Sales,Customer Payment
1,1,2026-05-11,5126.64,INCOME,Sales,Customer Payment
1,1,2026-05-11,-6798.57,EXPENSE,Operations,Office Supplies
1,1,2026-05-11,-69830.82,EXPENSE,Inventory,Supplier Invoice
1,1,2026-05-12,11706.23,INCOME,Sales,Customer Payment
1,1,2026-05-13,22625.13,INCOME,Sales,Customer Payment
1,1,2026-05-14,28564.30,INCOME,Sales,Customer Payment
1,1,2026-05-14,-2959.30,EXPENSE,Operations,Office Supplies
1,1,2026-05-15,16573.50,INCOME,Sales,Customer Payment
1,1,2026-05-18,17328.08,INCOME,Sales,Customer Payment
1,1,2026-05-21,21659.57,INCOME,Sales,Customer Payment
1,1,2026-05-22,23416.13,INCOME,Sales,Customer Payment
1,1,2026-05-25,32145.88,INCOME,Sales,Customer Payment
1,1,2026-05-25,-79951.80,EXPENSE,Inventory,Supplier Invoice
1,1,2026-05-27,13342.08,INCOME,Sales,Customer Payment
1,1,2026-05-28,-150000.00,EXPENSE,Payroll,Employee Salaries
1,1,2026-05-28,13662.95,INCOME,Sales,Customer Payment
1,1,2026-05-29,31529.86,INCOME,Sales,Customer Payment
1,1,2026-06-01,-50000.00,EXPENSE,Rent,Office Rent
1,1,2026-06-01,19866.18,INCOME,Sales,Customer Payment
1,1,2026-06-02,24654.19,INCOME,Sales,Customer Payment
1,1,2026-06-04,19722.18,INCOME,Sales,Customer Payment
1,1,2026-06-05,20052.62,INCOME,Sales,Customer Payment
1,1,2026-06-08,31871.07,INCOME,Sales,Customer Payment
1,1,2026-06-08,-35870.01,EXPENSE,Inventory,Supplier Invoice
1,1,2026-06-09,5703.17,INCOME,Sales,Customer Payment
1,1,2026-06-10,33618.48,INCOME,Sales,Customer Payment
1,1,2026-06-10,-9709.70,EXPENSE,Operations,Office Supplies
1,1,2026-06-15,19236.96,INCOME,Sales,Customer Payment
1,1,2026-06-16,32484.43,INCOME,Sales,Customer Payment
1,1,2026-06-17,-3470.88,EXPENSE,Operations,Office Supplies
1,1,2026-06-18,17067.48,INCOME,Sales,Customer Payment
1,1,2026-06-19,14678.21,INCOME,Sales,Customer Payment
1,1,2026-06-22,-27113.77,EXPENSE,Inventory,Supplier Invoice
1,1,2026-06-23,25091.99,INCOME,Sales,Customer Payment
1,1,2026-06-23,-1235.08,EXPENSE,Operations,Office Supplies
1,1,2026-06-25,27414.52,INCOME,Sales,Customer Payment
1,1,2026-06-26,-3385.18,EXPENSE,Operations,Office Supplies
1,1,2026-06-28,-150000.00,EXPENSE,Payroll,Employee Salaries
1,1,2026-06-28,-2737.05,EXPENSE,Operations,Office Supplies
1,1,2026-06-29,24067.23,INCOME,Sales,Customer Payment
1,1,2026-06-30,13211.91,INCOME,Sales,Customer Payment
1,1,2026-07-01,-50000.00,EXPENSE,Rent,Office Rent
1,1,2026-07-01,21803.08,INCOME,Sales,Customer Payment
1,1,2026-07-02,28263.62,INCOME,Sales,Customer Payment
1,1,2026-07-05,-8659.05,EXPENSE,Operations,Office Supplies
1,1,2026-07-06,16933.13,INCOME,Sales,Customer Payment
1,1,2026-07-06,-47447.24,EXPENSE,Inventory,Supplier Invoice
1,1,2026-07-08,6780.41,INCOME,Sales,Customer Payment
1,1,2026-07-09,33182.15,INCOME,Sales,Customer Payment
1,1,2026-07-10,32913.59,INCOME,Sales,Customer Payment
1,1,2026-07-10,-2028.82,EXPENSE,Operations,Office Supplies
1,1,2026-07-11,-8462.86,EXPENSE,Operations,Office Supplies
1,1,2026-07-12,-4419.41,EXPENSE,Operations,Office Supplies
1,1,2026-07-15,6666.11,INCOME,Sales,Customer Payment
1,1,2026-07-16,27006.06,INCOME,Sales,Customer Payment
1,1,2026-07-17,31031.09,INCOME,Sales,Customer Payment
1,1,2026-07-20,-60334.05,EXPENSE,Inventory,Supplier Invoice
1,1,2026-07-21,25036.48,INCOME,Sales,Customer Payment
1,1,2026-07-22,19778.04,INCOME,Sales,Customer Payment
1,1,2026-07-25,-9734.10,EXPENSE,Operations,Office Supplies
1,1,2026-07-27,22614.33,INCOME,Sales,Customer Payment
1,1,2026-07-28,-150000.00,EXPENSE,Payroll,Employee Salaries
1,1,2026-07-29,30053.53,INCOME,Sales,Customer Payment
1,1,2026-07-30,26033.75,INCOME,Sales,Customer Payment
1,1,2026-07-31,32330.18,INCOME,Sales,Customer Payment
